,Dataset,EM,F1
0,(I) SQuAD-dev,88.65,93.77
1,(I) NaturalQuestionsShort-dev,68.3,80.21
2,(I) TriviaQA-web-dev,74.3,78.63
3,(I) HotpotQA-dev,67.15,81.86
4,(I) NewsQA-dev,60.1,73.44
5,(I) overall,72.88,82.0
6,(I) SearchQA-dev,78.8,84.08
7,(O) DROP-dev,54.76,63.42
8,(O) BioASQ-dev,60.77,72.77
9,(O) TextbookQA-None,57.09,65.8
10,(O) overall,57.98,68.54
11,(O) RACE-None,41.54,55.89
12,(O) DuoRC.ParaphraseRC-dev,55.23,65.64
13,(O) RelationExtraction-dev,78.5,87.72
